O o_DET_Masc_Sing
candidato candidato_NOUN_Masc_Sing
fascista fascista_ADJ_Masc_Sing
, ,
porta-voz porta-voz
do de_o_ADP_DET_Masc_Sing
ódio ódio_NOUN_Masc_Sing
, ,
que que_PRON_Rel_Masc_Sing
já já_ADV
simulou simular_VERB_Fin_Sing
uma um_DET_Fem_Sing
arma arma_NOUN_Fem_Sing
com com_ADP
os o_DET_Masc_Plur
dedos dedo_NOUN_Masc_Plur
e e_CCONJ
 "  "
atirou atirar_VERB_Fin_Sing
 "  "
num em_um_ADP_DET_Masc_Sing
boneco boneco_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
Lula lula_PROPN_Masc_Sing
, ,
resolveu resolver_VERB_Fin_Sing
abrir abrir_VERB_Inf
guerra guerra_NOUN_Fem_Sing
contra contra_ADP
mim eu_PRON_Sing
. .
Repito repetir_VERB_Fin_Sing
o o_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
eu eu_PRON_Masc_Sing
falei falar_VERB_Fin_Sing
: :
Bolsonaro bolsonaro_PROPN_Masc_Sing
, ,
vc vc_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
sim sim_ADV
responsável responsável_ADJ_Masc_Sing
pela por_o_ADP_DET_Fem_Sing
escalada escalada_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
fascismo fascismo_NOUN_Masc_Sing
e e_CCONJ
da de_o_ADP_DET_Fem_Sing
intolerância intolerância_NOUN_Fem_Sing
! !
