RT rt_PROPN_Masc_Sing
@vtorresfreire twitterhandle_VERB_Fin_Sing
: :
Comandantes comandante_NOUN_Masc_Plur
das de_o_ADP_DET_Fem_Plur
forças força_NOUN_Fem_Plur
armadas armado_ADJ_Fem_Plur
estão estar_AUX_Fin_Plur
dizendo dizer_VERB_Ger
que que_SCONJ
Bolsonaro bolsonaro_PROPN_Masc_Sing
queria querer_VERB_Fin_Sing
dar dar_VERB_Inf
um um_DET_Masc_Sing
golpe golpe_NOUN_Masc_Sing
, ,
algum algum_DET_Masc_Sing
golpe golpe_NOUN_Masc_Sing
. .
GOLPE golpe_NOUN_Masc_Sing
. .
Em em_ADP
resumo resumo_NOUN_Masc_Sing
, ,
é ser_AUX_Fin_Sing
o o_DET_Masc_Sing
recad recad_NOUN_Masc_Sing
… …
