@Smith_Hays twitterhandle
Não não
teve ter
nada nada
similar similar
a a
1964 1964
na em_o
eleição eleição
do de_o
Bolsonaro bolsonaro
. .
Foi ser
sim sim
, ,
uma um
reafirmação reafirmação
do de_o
movimento movimento
conservador conservador
de de
direita direita
, ,
mas mas
de de
forma forma
pacífica pacífico
e e
democrática democrático
. .
Anos ano
luz luz
. .
. .
. .
da de_o
revolução revolução
de de
1964 1964
que que
tinha ter
como como
pano pano
de de
fundo fundo
a a
" "
guerra guerra
fria fria
" "
. .
E e
uma um
histeria histeria
provocada provocar
por por
esta este
briga briga
. .
