@g1 twitterhandle
Tem ter
nada nada
não não
, ,
ano ano
que que
vem vir
Bolsonaro bolsonaro
abre abrir
contra contra
a o
Dilma dilma
, ,
pimentel pimentel
, ,
aluizio aluizio
nunes nunes
, ,
jose jose
genuino genuino
, ,
jose jose
dirceu dirceu
, ,
jose jose
serra serra
entre entre
outros outro
tantos tanto
guerrilheiros guerrilheiro
comunistas comunista
que que
nunca nunca
pagaram pagar
por por
seis seis
crimes crime
. .
