Amigos amigo
, ,
ouçam ouvir
na em_o
íntegra íntegra
a ela
denuncia denunciar
de de
Mara mara
Gabrilli gabrilli
, ,
contra contra
o o
muladrão muladrão
. .
Quando quando
todos todo
esperavam esperar
uma um
grande grande
fake fake
news news
contra contra
Bolsonaro bolsonaro
, ,
acaba acabar
de de
vir vir
de de
onde onde
eu eu
não não
achava achar
que que
viria vir
. .
Não não
precisa precisar
ouvir ouvir
a o
live live
inteira inteiro
, ,
procurem procurar
só só
a ela
denuncia denunciar
. .
Viral viral
. .
