RT rt_PROPN_Masc_Sing
@LulaReport twitterhandle_PROPN_Sing
: :
police_car_light_e police_car_light_e
BOMBA bomba_PROPN_Sing
: :
Família família_NOUN_Fem_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
tem ter_VERB_Fin_Sing
51 51_NUM
imóveis imóvel_NOUN_Masc_Plur
comprados comprar_VERB_Part_Masc_Plur
em em_ADP
DINHEIRO dinheiro_NOUN_Masc_Sing
VIVO vivo_ADJ_Masc_Sing
, ,
totalizando totalizar_VERB_Ger
25 25_NUM
MILHÕES milhão_NOUN_Masc_Plur
de de_ADP
reais real_NOUN_Masc_Plur
. .
Comprar comprar_VERB_Inf
dezenas dezena_NOUN_Fem_Plur
de de_ADP
im im_NOUN_Fem_Sing
… …
