GRAVÍSSIMO gravíssimo
! !
Em em
um um
intervalo intervalo
de de
12 12
horas hora
, ,
dois dois
grandes grande
escândalos escândalo
envolvendo envolver
a o
família família
Bolsonaro bolsonaro
. .
A o
compra compra
de de
pelo por_o
menos menos
51 51
imóveis imóvel
em em
dinheiro dinheiro
vivo vivo
e e
a o
afirmação afirmação
da de_o
Polícia polícia
Federal federal
de de
que que
a o
ABIN abin
interviu interver
para para
atrapalhar atrapalhar
investigações investigação
contra contra
o o
filho filho
do de_o
presidente presidente
, ,
Jair jair
Renan renan
. .
