Flávio flávio
Bolsonaro bolsonaro
, ,
eu eu
votei votar
em em
você você
e e
por por
isso isso
tenho ter
direto direto
de de
cobra cobrar
-lo ele
. .
Porque porque
você você
não não
assinou assinar
a o
CPI cpi
da de_o
Lava lava
Toga toga
? ?
Estou estar
chegando chegar
a o
conclusão conclusão
que que
você você
está estar
com com
o o
rabo rabo
preso preso
. .
Pode poder
ter ter
certeza certeza
que que
nunca nunca
mais mais
terá ter
o o
meu meu
voto voto
e e
da de_o
minha meu
família família
( (
uns um
20 20
votos voto
) )
. .
