@ptbrasil twitterhandle_NOUN_Masc_Sing
@gleisi twitterhandle_VERB_Fin_Sing
O o_DET_Masc_Sing
povo povo_NOUN_Masc_Sing
têm ter_VERB_Fin_Plur
que que_SCONJ
comemora comemorar_VERB_Fin_Sing
mesmo mesmo_ADV
18 18_NUM
reais real_ADJ_Masc_Plur
rolling_on_the_floor_laughing_e rolling_on_the_floor_laughing_e
rolling_on_the_floor_laughing_e rolling_on_the_floor_laughing_e
não não_ADV
da de_o_ADP_DET
nem nem_ADV
pra para_o_ADP_DET_Fem_Sing
compra compra_NOUN_Fem_Sing
uma um_DET_Fem_Sing
cartela cartela_NOUN_Fem_Sing
de de_ADP
ovo ovo_NOUN_Masc_Sing
graças graças_ADV
a o_DET_Fem_Sing
Deus deus_PROPN
as o_DET_Fem_Plur
pessoas pessoa_NOUN_Fem_Plur
esta este_PRON_Fem_Sing
entendo entender_VERB_Fin_Sing
o o_DET_Masc_Sing
que que_NOUN_Masc_Sing
e e_CCONJ
o o_DET_Masc_Sing
banco banco_NOUN_Masc_Sing
central central_ADJ_Masc_Sing
e e_CCONJ
saber saber_VERB_Inf
si si_PRON_Sing
não não_ADV
fosse ser_AUX_Fin_Sing
o o_DET_Masc_Sing
banco banco_NOUN_Masc_Sing
central central_ADJ_Masc_Sing
a o_DET_Fem_Sing
inflação inflação_NOUN_Fem_Sing
já já_ADV
estava estar_AUX_Fin_Sing
alta alto_ADJ_Fem_Sing
a a_ADP
te tu_PRON_Masc_Sing
isso isso_PRON_Masc_Sing
vocês você_PRON_Plur
falar falar_VERB_Inf
que que_SCONJ
e e_CCONJ
o o_DET_Masc_Sing
banco banco_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
rolling_on_the_floor_laughing_e rolling_on_the_floor_laughing_e
rolling_on_the_floor_laughing_e rolling_on_the_floor_laughing_e
rolling_on_the_floor_laughing_e rolling_on_the_floor_laughing_e
