@radaronline twitterhandle_VERB_Fin_Sing
Tem ter_VERB_Fin_Sing
q q_NOUN_Masc_Sing
ser ser_AUX_Inf_Sing
, ,
senão senão_ADP
o o_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
vai ir_AUX_Fin_Sing
ficar ficar_AUX_Inf
igualzinho igualzinho_ADJ_Masc_Sing
a a_ADP
Siria siria_PROPN_Masc_Sing
, ,
tem ter_VERB_Fin_Sing
q q_NOUN_Masc_Sing
combater combater_VERB_Inf
esses esse_DET_Masc_Plur
baderneiros baderneiro_ADJ_Masc_Plur
q q_NOUN_Masc_Sing
ficam ficar_AUX_Fin_Plur
odiando odiar_VERB_Part
o o_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
achando achar_VERB_Part
q q_NOUN_Masc_Sing
o o_DET_Masc_Sing
atual atual_ADJ_Masc_Sing
presidente presidente_NOUN_Masc_Sing
tem ter_VERB_Fin_Sing
ódio ódio_NOUN_Masc_Sing
e e_CCONJ
ato ato_NOUN_Masc_Sing
de de_ADP
vingança vingança_NOUN_Fem_Sing
, ,
tem ter_VERB_Fin_Sing
q q_NOUN_Masc_Sing
combater combater_VERB_Inf
mesmo mesmo_ADV
as o_DET_Fem_Plur
imoralidade imoralidade_NOUN_Fem_Sing
impuras impuro_ADJ_Fem_Plur
do de_o_ADP_DET_Masc_Sing
nosso nosso_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
, ,
não não_ADV
podemos poder_AUX_Fin_Plur
apoiar apoiar_VERB_Inf
imundícias imundícia_NOUN_Fem_Plur
q q_NOUN_Masc_Sing
Deus deus_PROPN_Masc_Sing
odeia odiar_VERB_Fin_Sing
, ,
entend entend_NOUN_Masc_Sing
