Após após
o o
bárbaro bárbaro
assassinato assassinato
de de
três três
pessoas pessoa
na em_o
basílica basílica
de de
Notre-Dame notre-dame
de de
Nice nice
, ,
por por
motivo motivo
de de
ódio ódio
a a
cristãos cristão
, ,
a o
velha velho
imprensa imprensa
preferiu preferir
atacar atacar
Bolsonaro bolsonaro
por por
sua seu
crítica crítico
à a_o
cristofobia cristofobia
do de_o
que que
mergulhar mergulhar
nas em_o
razões razão
do de_o
crime crime
. .
Passaram passar
recibo recibo
de de
cristofóbicos cristofóbicos
. .
Com com
assinatura assinatura
e e
tudo tudo
. .
