Bolsonaro bolsonaro
já já
foi ser
a a
Pernambuco pernambuco
para para
levar levar
ajuda ajuda
federal federal
às a_o
famílias família
dos de_o
mais mais
de de
80 80
mortos morto
? ?
Já já
falou falar
com com
o o
governador governador
e e
os o
prefeitos prefeito
para para
fazer fazer
algo algo
quanto quanto
aos a_o
estragos estrago
? ?
Ainda ainda
não não
, ,
né né
? ?
Deve dever
ter ter
ficado ficar
muito muito
ocupado ocupar
fazendo fazer
churrasco churrasco
e e
motociata motociata
por por
aí aí
. .
VAGABUNDO vagabundo
DA de_o
REPÚBLICA república
! !
