Chegaram chegar
a a
anunciar anunciar
o o
tal tal
Renda renda
Brasil brasil
, ,
mas mas
queriam querer
tirar tirar
verba verba
do de_o
Bolsa bolsa
Família família
e e
do de_o
salário salário
mínimo pequeno
. .
Tantas tanto
críticas crítica
, ,
que que
Bolsonaro bolsonaro
recuou recuar
. .
Agora agora
, ,
quer querer
roubar roubar
do de_o
Fundeb fundeb
e e
fazer fazer
um um
tal tal
Renda renda
Cidadã cidadã
. .
O o
certo certo
é ser
que que
eles eles
não não
gostam gostar
e e
não não
sabem saber
como como
fazer fazer
programas programa
de de
renda renda
básica básico
. .
