HASHTAG hashtag
#opovoestacombolsonaro_h #opovoestacombolsonaro_h
O o
Presidente presidente
Bolsonaro bolsonaro
é ser
o o
Comandante comandante
Maior grande
das de_o
Forças forças
Armadas armadas
, ,
quem quem
não não
concordacom concordacom
ele ele
está estar
convidado convidar
a a
se se
retirar retirar
. .
Parabéns parabéns
Presidente presidente
, ,
precisamos precisar
de de
homens homem
conprometidos conprometidos
com com
a o
população população
e e
com com
a o
Defesa defesa
da de_o
nossa nosso
Pátria pátria
! !
