@CarlosBolsonaro twitterhandle
Se se
vc vc
e e
sua seu
família família
tivesse ter
um um
pouco pouco
de de
bom bom
senso senso
perceberiam perceberiam
que que
vcs vcs
incomoda incomodar
e e
atrasa atrasar
o o
desenvolvimento desenvolvimento
do de_o
nosso nosso
país país
. .
Se se
o o
bosta bosta
do de_o
seu seu
pai pai
cumprisse cumprir
com com
a o
palavra palavra
dele de_ele
, ,
ouviria ouvir
as o
vozes voz
da de_o
rua rua
e e
deixava deixar
o o
cargo cargo
aberto aberto
, ,
mas mas
é ser
só só
um um
entre entre
outras outro
que que
ele ele
nao nao
via via
cumprir cumprir
. .
