Moro moro
( (
@SF_Moro twitterhandle
) )
: :
" "
Entrega entrega
de de
equipamentos equipamento
de de
segurança segurança
, ,
70 70
viaturas viatura
, ,
200 200
coletes colete
e e
250 250
armas arma
, ,
à a_o
PM pm
( (
do de_o
RN rn
) )
pelo por_o
Governo governo
do de_o
PR pr
@jairbolsonaro twitterhandle
. .
" "
Mas mas
. .
. .
. .
E e
o o
Caso caso
Marielle marielle
? ?
E e
o o
Queiróz queiróz
? ?
E e
os o
cheques cheque
para para
Micheque micheque
? ?
E e
os o
imóveis imóvel
do de_o
Flávio flávio
Bolsonaro bolsonaro
? ?
E e
as o
drogas droga
no em_o
avião avião
presidencial presidencial
? ?
