@guilherme_alvf twitterhandle
não não
, ,
o o
discurso discurso
do de_o
Bolsonaro bolsonaro
não não
é ser
uma um
simples simples
opinião opinião
, ,
é ser
discurso discurso
de de
ódio ódio
concordando concordar
com com
ele ele
ela ela
ta ta
passando passar
pano pano
pra pra
fascista fascista
que que
quer querer
tirar tirar
o o
direito direito
dos de_o
outros outro
, ,
afetando afetar
a o
liberdade liberdade
deles de_eles
ou ou
seja ser
, ,
ele ele
e e
ela ela
estão estar
sendo ser
idiotas idiota
