@taitai_balao twitterhandle
snoopy snoopy
é ser
hétero hétero
, ,
de de
direita direita
, ,
meio meio
conservador conservador
, ,
mas mas
não não
completamente completamente
, ,
só só
que que
votou votar
no em_o
bozo bozo
no em_o
primeiro primeiro
e e
segundo segundo
turno turno
lola lola
eh eh
claramente claramente
de de
esquerda esquerda
, ,
pansexual pansexual
, ,
morte morte
ao a_o
bolsonaro bolsonaro
, ,
votou votar
no em_o
ciro ciro
em em
2018 @card@
thor thor
centro-esquerda centro-esquerda
, ,
hétero hétero
aliado aliar
, ,
talvez talvez
bi bi
, ,
lula lula
2022 @card@
