Militares militar_NOUN_Masc_Plur
tinham ter_VERB_Fin_Plur
acesso acesso_NOUN_Masc_Sing
a a_ADP
joias joia_NOUN_Fem_Plur
guardadas guardar_VERB_Part_Fem_Plur
por por_ADP
Bolsonaro bolsonaro_NOUN_Masc_Sing
em em_ADP
imóvel imóvel_NOUN_Masc_Sing
de de_ADP
Pique pique_PROPN_Masc_Sing
Por por_ADP
Aguirre aguirre_PROPN_Masc_Sing
Talento talento_VERB_Fin_Sing
A o_DET_Fem_Sing
investigação investigação_NOUN_Fem_Sing
sobre sobre_ADP
as o_DET_Fem_Plur
joias joia_NOUN_Fem_Plur
sauditas saudita_ADJ_Fem_Plur
obteve obter_VERB_Fin_Sing
informações informação_NOUN_Fem_Plur
detalhadas detalhar_VERB_Part_Fem_Plur
a a_ADP
respeito respeito_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
armazenamento armazenamento_NOUN_Masc_Sing
de de_ADP
bens bem_NOUN_Masc_Plur
, ,
a a_ADP
pedido pedido_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
ex-presidente ex-presidente
Jair jair_PROPN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Sing
, ,
em em_ADP
