Desesperado desesperar
, ,
cercado cercar
pela por_o
crise crise
sanitária sanitário
, ,
socioeconômica socioeconômico
que que
produziu produzir
, ,
por por
investigações investigação
contra contra
sua seu
família família
, ,
Bolsonaro bolsonaro
força forçar
demissão demissão
dos de_o
Comandantes comandante
do de_o
Exército exército
, ,
Marinha marinha
e e
Força força
Aérea aérea
. .
Bolsonaro bolsonaro
quer querer
o o
Golpe golpe
. .
Dizem dizer
os o
ex-comandantes ex-comandantes
: :
não não
haverá haver
Golpe golpe
