@patigodoy3 twitterhandle_NUM
@leandroruschel twitterhandle_NOUN_Masc_Sing
Para para_ADP
com com_ADP
isso isso_PRON_Masc_Sing
, ,
quem quem_PRON_Rel_Masc_Sing
poderia poder_AUX_Fin_Sing
ter ter_AUX_Inf
feito fazer_VERB_Part
alguma algum_DET_Fem_Sing
coisa coisa_NOUN_Fem_Sing
era ser_AUX_Fin_Sing
o o_DET_Masc_Sing
presidente presidente_NOUN_Masc_Sing
junto junto_ADV
com com_ADP
o o_DET_Masc_Sing
congresso congresso_NOUN_Masc_Sing
quando quando_ADV
o o_DET_Masc_Sing
cabeça cabeça_NOUN_Fem_Sing
de de_ADP
piroca piroca_NOUN_Fem_Sing
começou começar_VERB_Fin_Sing
com com_ADP
as o_DET_Fem_Plur
arbitrariedades arbitrariedade_NOUN_Fem_Plur
, ,
aquele aquele_PRON_Masc_Sing
era ser_AUX_Fin_Sing
o o_DET_Masc_Sing
momento momento_NOUN_Masc_Sing
, ,
mas mas_CCONJ
ele ele_PRON_Masc_Sing
foi ser_AUX_Fin_Sing
frouxo frouxo_ADJ_Masc_Sing
, ,
deixou deixar_AUX_Fin_Sing
rolar rolar_VERB_Inf
, ,
agora agora_ADV
já já_ADV
era ser_AUX_Fin_Sing
, ,
inês inês_NOUN_Masc_Plur
é ser_AUX_Fin_Sing
morta morto_ADJ_Fem_Sing
, ,
esquece esquecer_VERB_Fin_Sing
forças força_NOUN_Fem_Plur
armadas armar_VERB_Part_Fem_Plur
, ,
eles eles_PRON_Masc_Plur
não não_ADV
vão ir_AUX_Fin_Plur
dar dar_VERB_Inf
golpe golpe_NOUN_Masc_Sing
