@marcofeliciano twitterhandle
A o
liberdade liberdade
de de
expressão expressão
dos de_o
bolsonaristas bolsonaristas
é é
ameaças ameaça
agressão agressão
falta faltar
de de
respeito respeito
, ,
isso isso
não não
liberdade liberdade
de de
expressão expressão
não não
Feliciano feliciano
! !
O o
que que
o o
bolsonaro bolsonaro
defende defender
é ser
o o
direito direito
de de
mentir mentir
e e
espalhar espalhar
fecknews fecknews
, ,
me eu
espanta espantar
um um
pastor pastor
achar achar
isso isso
correto correto
, ,
vai ir
pra para_o
igreja igreja
pô pô
cumprir cumprir
o o
seu seu
papel papel
! !
