preparem preparar
as o
camisas camisa
e e
os o
textos texto
de de
luto luto
. .
você você
que que
é ser
eleitor eleitor
do de_o
bolsonaro bolsonaro
e e
tem ter
um um
amigo amigo
na em_o
vida vida
do de_o
crime crime
, ,
na em_o
verdade verdade
você você
está estar
desejando desejar
a o
morte morte
dele de_ele
! !
enfim enfim
. .
. .
. .
4 4
anos ano
sombrios sombrio
estão estar
por por
vir vir
. .
que que
Deus deus
nos nós
abençoe abençoar
e e
nos nós
guarde guardar
. .
Nós nós
= =
moradores morador
de de
comunidades comunidade
