@correio twitterhandle
Uma um
coisa coisa
é ser
fato fato
, ,
Bolsonaro bolsonaro
corteja cortejar
tanto tanto
as o
forças força
armadas armar
que que
os o
preguiçosos preguiçoso
e e
corruptos corrupto
se se
acham achar
no em_o
direito direito
de de
pilhar pilhar
a o
sociedade sociedade
brasileira brasileiro
. .
. .
esses esse
aí aí
e e
os o
seguidores seguidor
do de_o
Bozo bozo
são ser
vagabundos vagabundo
, ,
racistas racista
e e
tem ter
forte forte
tendência tendência
a a
corrupção corrupção
