Preço preço
vai ir
cair cair
pela por_o
metade metade
, ,
se se
Deus deus
quiser querer
, ,
diz dizer
Bolsonaro bolsonaro
sobre sobre
gás gás
de de
cozinha cozinha
, ,
mais muito
detalhes detalhe
: :
Presidente presidente
atribui atribuir
a o
alta alta
do de_o
utensílio utensílio
aos a_o
governadores governador
, ,
que que
, ,
segundo segundo
ele ele
, ,
não não
querem querer
reduzir reduzir
o o
ICMS icms
( (
imposto imposto
estadual estadual
) )
Mariana mariana
Costa costa
Flávia flávia
Said said
. .
