Vejo ver
muito muito
esperançosa esperançoso
o o
fim fim
da de_o
trágica trágico
era era
Trump trump
que que
foi ser
fiel fiel
representante representante
de de
uma um
extrema-direita extrema-direita
raivosa raivoso
, ,
negacionista negacionista
e e
hiper hiper
conservadora conservador
e e
que que
tem ter
aqui aqui
no em_o
Brasil brasil
o o
Presidente presidente
Bolsonaro bolsonaro
como como
um um
clone clone
tropical tropical
e e
mal mal
feito fazer
do de_o
ex-presidente ex-presidente
americano americano
. .
