Após após
caluniar caluniar
, ,
ameaçar ameaçar
, ,
incitar incitar
as o
pessoas pessoa
contra contra
Lula lula
, ,
Dilma dilma
, ,
PT pt
e e
STF stf
, ,
Bolsonaro bolsonaro
e e
Eduardo eduardo
Bolsonaro bolsonaro
terminam terminar
com com
' '
Brasil brasil
acima acima
de de
tudo tudo
, ,
Deus deus
acima acima
de de
todos todo
' '
. .
Que que
cristão cristão
é ser
esse esse
que que
usa usar
o o
nome nome
de de
Deus deus
pra pra
incitar incitar
atentados atentado
, ,
ódio ódio
e e
violência violência
contra contra
seus seu
oponentes oponente
políticos político
? ?
? ?
