@Umsalesrosa twitterhandle
Eu eu
notei notar
q q
, ,
ignorando ignorar
parentes parente
, ,
95 95
% %
dos de_o
meus meu
amigos amigo
n n
gostam gostar
do de_o
Bolsonaro bolsonaro
Isso isso
é ser
bom bom
, ,
por por
um um
lado lado
E e
ruim ruim
, ,
pois pois
tenho ter
pouco pouco
contato contato
com com
prováveis provável
eleitores eleitor
dele de_ele
q q
n n
gostam gostar
dele de_ele
, ,
mas mas
caem cair
no em_o
conto conto
do de_o
" "
honesto honesto
, ,
cristão cristão
e e
patriota patriota
" "
Involuntariamente involuntariamente
eu eu
tb tb
acabo acabar
numa em_um
bolha bolha
