@CarolDeToni twitterhandle_VERB_Fin_Sing
Ela ela_PRON_Fem_Sing
não não_ADV
conhece conhecer_VERB_Fin_Sing
o o_DET_Masc_Sing
' '
' '
véio véio_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
Virginia virginia_PROPN_Fem_Sing
' '
' '
, ,
e e_CCONJ
não não_ADV
tem ter_VERB_Fin_Sing
idéia idéia_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
rombo rombo_NOUN_Masc_Sing
que que_PRON_Rel_Masc_Sing
o o_DET_Masc_Sing
Olavo olavo_PROPN_Masc_Sing
fez fazer_VERB_Fin_Sing
na em_o_ADP_DET_Fem_Sing
hegemonia hegemonia_NOUN_Fem_Sing
da de_o_ADP_DET_Fem_Sing
esquerda esquerda_NOUN_Fem_Sing
utilizando utilizar_VERB_Ger
principalmente principalmente_ADV
as o_DET_Fem_Plur
redes rede_NOUN_Fem_Plur
sociais social_ADJ_Fem_Plur
. .
E e_CCONJ
sabe saber_VERB_Fin_Sing
quando quando_ADV
isso isso_PRON_Masc_Sing
vai ir_AUX_Fin_Sing
terminar terminar_VERB_Inf
? ?
Nuuuuca nuuuuca_PROPN_Masc_Sing
! !
! !
! !
Brasil brasil_PROPN_Masc_Sing
acima acima_ADV
de de_ADP
tudo tudo_PRON_Masc_Sing
, ,
Deus deus_PROPN_Masc_Sing
acima acima_ADV
de de_ADP
todos todo_PRON_Masc_Plur
! !
É ser_AUX_Fin_Sing
Bolsonaro bolsonaro_NOUN_Masc_Sing
até até_ADP
2026 @card@
! !
