@gduvivier twitterhandle_VERB_Fin_Sing
Quem quem_PRON_Rel_Sing
dá dar_VERB_Fin_Sing
tiro tiro_NOUN_Masc_Sing
em em_ADP
ônibus ônibus_NOUN_Masc_Sing
é ser_AUX_Fin_Sing
gente gente_PRON_Fem_Sing
que que_PRON_Rel_Fem_Sing
quer querer_VERB_Fin_Sing
criar criar_VERB_Inf
um um_DET_Masc_Sing
mártir mártir_NOUN_Masc_Sing
. .
Até até_ADV
então então_ADV
quem quem_PRON_Rel_Sing
fala falar_VERB_Fin_Sing
em em_ADP
pegar pegar_VERB_Inf
em em_ADP
armas arma_NOUN_Fem_Plur
é ser_AUX_Fin_Sing
a o_DET_Fem_Sing
CUT cut_PROPN_Fem_Sing
e e_CCONJ
o o_DET_Masc_Sing
MST mst_PROPN_Masc_Sing
, ,
inclusive inclusive_ADV
é ser_AUX_Fin_Sing
nestes em_este_ADP_PRON_Masc_Plur
que que_PRON_Rel_Masc_Plur
você você_PRON_Fem_Sing
baba babar_VERB_Fin_Sing
o o_DET_Masc_Sing
ovo ovo_NOUN_Masc_Sing
. .
. .
. .
