@kimpaim twitterhandle_VERB_Fin_Plur
Bolsonaro bolsonaro_PROPN_Masc_Sing
Reeleito reeleito_VERB_Fin_Sing
presidente presidente_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
República república_PROPN_Fem_Sing
Deus deus_PROPN_Sing
ti tu_PRON_Masc_Sing
proteja proteger_VERB_Fin_Sing
folded_hands_e folded_hands_e
clapping_hands_e clapping_hands_e
clapping_hands_e clapping_hands_e
clapping_hands_e clapping_hands_e
backhand_index_pointing_right_e backhand_index_pointing_right_e
smiling_face_with_sunglasses_e smiling_face_with_sunglasses_e
keycap_2_e keycap_2_e
keycap_2_e keycap_2_e
flexed_biceps_e flexed_biceps_e
flag_brazil_e flag_brazil_e
flag_israel_e flag_israel_e
flag_brazil_e flag_brazil_e
flag_israel_e flag_israel_e
flag_brazil_e flag_brazil_e
flag_israel_e flag_israel_e
flag_brazil_e flag_brazil_e
