Lula lula
ficou ficar
preso prender
por por
580 @card@
dias dia
com com
a o
acusação acusação
de de
ter ter
visitado visitar
um um
apt apt
que que
ele ele
nunca nunca
comprou comprar
. .
A o
família família
Bolsonaro bolsonaro
comprou comprar
51 51
imóveis imóvel
com com
dinheiro dinheiro
" "
vivíssimo vivo
" "
gastando gastar
mais mais
de de
R$25 r$25
milhões milhão
nos em_o
últimos último
10 10
anos ano
. .
É ser
fácil fácil
entender entender
, ,
o o
problema problema
está estar
em em
como como
resolver resolver
! !
? ?
