@RaulFigueired12 twitterhandle_NUM
@RedeTV twitterhandle_NOUN_Masc_Sing
@opiniaoredetv twitterhandle_PROPN_Masc_Sing
Comunista comunista_PROPN_Sing
! !
Tocando tocar_VERB_Part
pink pink_NOUN_Masc_Sing
floyd floyd_ADJ_Masc_Sing
que que_PRON_Rel_Masc_Sing
é ser_AUX_Fin_Sing
comunista comunista_ADJ_Fem_Sing
, ,
todos todo_DET_Masc_Plur
comunistas comunista_NOUN_Masc_Plur
! !
Ministro ministro_NOUN_Masc_Sing
comunista comunista_ADJ_Masc_Sing
! !
Bolsonaro bolsonaro_NOUN_Masc_Sing
comunista comunista_ADJ_Masc_Sing
! !
Fora fora_ADV
comunistas comunista_ADJ_Masc_Plur
kkkkkk kkkkkk_NOUN_Masc_Sing
