_NAME_	Factor1	Factor2	Factor3	Factor4	Factor5	Factor6	Factor7	load	secondary
v000001	-0.167349757	0.187894304	-0.178947112	0.3677721117	0.1245482882	-0.178721982	-0.029078324		
v000003	0.3027288489	-0.078178098	0.0071691873	0.0243753309	0.2494505408	-0.014966066	-0.027701292		
v000005	-0.149986154	-0.005186157	-0.00220241	-0.019320124	0.0144346475	0.0127319367	0.1333956229		
v000007	-0.081936813	-0.063476922	0.3876219999	-0.274112055	0.0502176847	0.0110368655	0.0017559704		
v000008	-0.158647132	-0.185358675	-0.084939129	0.0537365674	0.0602224275	0.7873203421	0.1044876186		
v000009	-0.075130403	-0.074294428	0.2282634478	-0.126633856	0.0933413118	-0.193979975	0.2487016562		
v000010	-0.038824947	-0.125735552	-0.079363245	0.2864959055	0.1440513726	-0.260615811	0.4294158414		
v000012	-0.17433132	-0.160533115	0.0806065636	0.0117654038	0.0304051792	-0.118015939	0.2180275652		
v000013	-0.119243781	0.1549207266	0.0580155077	-0.038864929	0.19465803	0.0047183392	-0.084583501		
v000014	-0.069437498	-0.059516485	-0.009566955	0.0814354159	0.0548621885	0.0227026021	0.1971157213		
v000015	0.1070194975	0.1438215468	0.1085353724	0.0347333308	0.204262774	-0.020786575	0.095326339		
v000017	0.0743935788	-0.19947723	0.587961118	-0.050222562	0.2226291621	-0.143148797	0.0333254431		
v000018	0.3132561504	-0.044041382	0.1978010326	0.1451375171	0.1710140767	0.0043220838	0.0902450621		
v000020	0.0627614858	-0.044501869	0.2822443535	0.08809661	0.0078407373	-0.0224729	0.2272633258		
v000021	0.3433377426	-0.068451386	0.0656284474	0.0568942851	-0.190047792	-0.204944338	0.5895873061	fac1	1
v000022	-0.084063865	-0.069306981	-0.170697995	-0.335773787	0.3466298617	0.5672831853	0.1916205449	fac5	1
v000024	0.0825529436	0.0943375734	0.2127333679	0.1042046021	0.2572588454	-0.022808685	0.0006092138		
v000025	0.7747870377	-0.029285226	0.0999293206	-0.047622364	0.0867857071	-0.143836678	-0.028322865		
v000027	-0.166769575	-0.006082288	0.1851957275	-0.058481739	0.0957673043	0.2410280351	0.2001700028		
v000028	0.0336322614	0.0209348804	0.1808761044	0.0505153792	0.350322707	0.069934437	-0.181503374		
v000029	-0.386336535	0.1420256622	0.2112462098	0.0645181003	-0.035586779	-0.052574271	0.1255730717		
v000030	-0.072810031	-0.296046182	0.1099318869	0.0915279264	0.1484971937	-0.138003096	0.2117203569		
v000034	-0.013212943	-0.069284784	0.5612873164	0.1041471795	-0.116592848	-0.077865561	0.2550732859		
v000035	-0.368446469	0.1441688265	-0.101449694	0.7434465749	0.1140560306	-0.205771249	0.2531954307	fac1	1
v000036	-0.20384559	-0.276366193	0.3503833737	-0.360207099	0.0760350296	-0.152279982	0.3103646034	fac3	1
v000037	-0.23288963	-0.034962148	0.1500942708	-0.158129129	0.3306456531	-0.219670245	0.124427967		
v000039	-0.33717973	0.0792052858	0.0224946282	0.0204083912	0.2984802019	-0.156717764	0.1331624134		
v000040	-0.064158739	-0.19358435	0.1010636955	0.2298706747	-0.041362061	-0.041035047	0.4756546819		
v000041	0.2102219744	0.1845126556	0.0860121572	0.0925626745	0.1966910085	-0.050278438	-0.094207197		
v000043	0.1528057617	0.0734628621	0.0287584427	-0.518269672	0.6398782163	0.1527508622	0.0215525042	fac4	1
v000047	0.0385603012	-0.168357121	-0.112355838	0.3170625215	0.3288417032	-0.116698771	0.2999595708	fac4	1
v000048	-0.028591548	-0.238361568	0.3672617427	0.1747573708	0.3003016294	-0.157583006	0.1215078385	fac5	1
v000049	0.1510734484	-0.154036495	0.5165146983	0.1286033035	0.2688305402	0.0521107746	0.2458815006		
v000051	0.0305871514	-0.273059081	0.5049015787	-0.025791526	0.186703937	-0.170106172	0.2004932543		
v000052	0.0675219695	-0.081326157	0.0742417561	0.0948874044	0.0785364704	-0.089308504	0.0587615188		
v000053	-0.190765662	-0.053483416	0.0590044661	-0.044955508	0.191504773	-0.01266201	0.4735113395		
v000055	-0.310826842	-0.089716354	-0.19200513	-0.153498594	0.4442834512	-0.037121506	-0.028386491	fac1	1
