Name1	Name2	corr
green_heart_e	yellow_heart_e	0.86050659
yellow_heart_e	green_heart_e	0.86050659
fake	news	0.84435472
news	fake	0.84435472
vivo	imóvel	0.5875535
imóvel	vivo	0.5875535
dinheiro	vivo	0.55245339
vivo	dinheiro	0.55245339
social	rede	0.52501608
rede	social	0.52501608
comprar	imóvel	0.5231193
imóvel	comprar	0.5231193
carro	blindar	0.50802334
blindar	carro	0.50802334
dinheiro	imóvel	0.50370355
imóvel	dinheiro	0.50370355
auxílio	emergencial	0.49758915
emergencial	auxílio	0.49758915
liberdade	expressão	0.47154311
expressão	liberdade	0.47154311
primeiro	turno	0.42106366
turno	primeiro	0.42106366
comprar	vivo	0.41913745
vivo	comprar	0.41913745
armar	força	0.38075951
força	armar	0.38075951
dinheiro	comprar	0.37370058
comprar	dinheiro	0.37370058
smiling_face_with_sunglasses_e	backhand_index_pointing_right_e	0.35750822
backhand_index_pointing_right_e	smiling_face_with_sunglasses_e	0.35750822
comandante	demissão	0.34513777
demissão	comandante	0.34513777
pobre	cisterna	0.33241204
cisterna	pobre	0.33241204
reportagem	indústria	0.32403153
indústria	reportagem	0.32403153
pátria	salvador	0.32084328
salvador	pátria	0.32084328
risco	correr	0.3060053
correr	risco	0.3060053
publicar	reportagem	0.30095173
reportagem	publicar	0.30095173
renda	baixo	0.29291075
baixo	renda	0.29291075
arma	porte	0.29172388
porte	arma	0.29172388
publicar	indústria	0.29053301
indústria	publicar	0.29053301
pátria	lesa	0.28999399
lesa	pátria	0.28999399
força	armado	0.28695171
armado	força	0.28695171
saco	puxar	0.28439631
puxar	saco	0.28439631
crime	cometer	0.27828086
cometer	crime	0.27828086
preço	gás	0.27591994
gás	preço	0.27591994
flag_brazil_e	folded_hands_e	0.26208673
folded_hands_e	flag_brazil_e	0.26208673
enganar	cisterna	0.26145353
cisterna	enganar	0.26145353
bandeira	vermelho	0.25979935
vermelho	bandeira	0.25979935
assinar	manifesto	0.25640214
manifesto	assinar	0.25640214
