file	fac1	fac2	fac3	fac4	fac5	fac6	fac7
t000000	-3	0	1	0	1	0	1
t000001	0	0	2	0	1	0	0
t000002	0	0	0	0	0	0	0
t000003	0	0	0	-1	0	3	0
t000004	0	0	0	0	0	0	0
t000005	1	0	0	0	0	1	0
t000006	0	0	0	0	0	2	0
t000007	0	0	0	0	0	0	0
t000008	0	0	0	0	0	1	1
t000009	2	1	-1	1	0	0	0
t000010	2	1	-1	1	0	0	0
t000011	0	0	0	-1	0	3	1
t000012	0	0	0	0	0	2	1
t000013	0	0	2	0	0	3	0
t000014	0	0	0	0	0	1	0
t000015	0	0	0	0	0	0	0
t000016	1	0	0	0	0	1	0
t000017	0	0	1	-1	1	0	0
t000018	0	0	0	0	1	3	2
t000019	0	0	0	0	1	3	2
t000020	0	0	1	0	0	0	0
t000021	1	0	1	-1	0	0	0
t000022	1	0	1	-1	0	0	0
t000023	0	0	1	0	0	0	0
t000024	0	0	0	0	0	1	0
t000025	0	0	1	0	0	0	0
t000027	0	0	0	0	0	0	0
t000028	0	0	0	0	0	1	1
t000029	1	0	0	0	1	2	0
t000030	0	-1	1	0	0	0	0
t000031	0	0	3	0	0	1	0
t000032	0	0	0	1	0	0	0
t000033	0	0	0	1	0	0	0
t000034	0	-1	0	0	0	0	0
t000035	0	0	2	-1	0	0	0
t000036	0	0	0	1	0	0	2
t000037	0	0	0	0	0	0	0
t000038	0	1	0	0	0	0	0
t000039	0	0	0	0	0	0	0
t000040	1	0	0	0	0	0	1
t000041	0	0	1	0	0	1	0
t000042	0	0	1	0	0	1	0
t000043	0	0	0	0	1	1	0
t000044	0	0	0	0	-1	0	1
t000045	0	0	0	0	0	0	1
t000046	0	0	0	0	0	0	0
t000047	0	0	0	0	1	1	0
t000048	0	-1	0	0	0	-1	1
t000049	1	-1	0	0	0	2	1
t000050	0	0	0	0	0	1	0
t000051	0	0	3	0	1	-1	0
t000052	1	0	1	1	1	0	1
t000053	1	0	0	0	0	2	1
t000054	0	0	0	0	1	3	0
t000055	0	0	0	0	1	0	1
t000056	0	1	1	0	1	0	2
t000057	-1	0	1	0	0	0	0
t000058	0	0	1	1	0	1	0
t000059	-1	0	1	1	-1	1	1
t000060	1	0	1	0	0	2	0
t000061	0	0	0	0	0	-1	0
t000062	0	0	0	0	1	1	0
t000063	0	0	0	0	1	1	0
t000064	1	1	0	0	0	1	1
t000065	1	1	0	0	0	1	1
t000066	0	0	0	0	0	1	0
t000067	1	0	2	0	0	0	0
t000068	0	0	0	0	0	1	0
t000069	0	0	0	0	0	1	1
t000070	0	0	0	0	-2	4	0
t000071	0	0	0	0	2	0	0
t000072	-1	0	0	0	0	2	1
t000073	0	0	2	0	2	1	1
t000074	0	0	0	0	0	0	0
t000075	0	1	0	0	0	2	0
t000076	0	1	0	0	0	0	2
t000077	0	0	0	0	1	0	1
t000078	3	0	0	1	0	0	0
t000079	0	0	0	0	-1	1	0
t000080	0	0	0	0	0	2	2
t000081	0	0	0	0	0	0	0
t000082	0	0	0	0	-1	0	0
t000083	0	-1	0	0	0	1	0
t000085	0	0	0	-1	1	1	0
t000086	0	0	0	0	0	1	0
t000087	0	0	0	1	0	0	0
t000088	0	0	1	0	-1	0	0
t000089	1	0	1	0	-1	0	0
t000090	0	0	1	0	0	1	0
t000091	0	0	0	0	0	2	0
t000092	2	0	0	0	0	0	0
t000093	0	0	0	0	0	2	0
t000094	0	0	0	0	-1	1	0
