RT rt_PROPN_Masc_Sing
@MarceloFreixo twitterhandle_VERB_Fin_Sing
: :
1 1_NUM
. .
Queremos querer_VERB_Fin_Plur
o o_DET_Masc_Sing
pagamento pagamento_NOUN_Masc_Sing
de de_ADP
uma um_DET_Fem_Sing
RENDA renda_PROPN_Fem_Sing
PERMANENTE permanente_PROPN_Sing
às a_o_ADP_DET_Fem_Plur
famílias família_NOUN_Fem_Plur
mais mais_ADV
pobres pobre_ADJ_Fem_Plur
. .
Fomos ser_AUX_Fin_Plur
nós nós_PRON_Masc_Plur
que que_PRON_Rel_Masc_Plur
aprovamos aprovar_VERB_Fin_Plur
o o_DET_Masc_Sing
auxílio auxílio_NOUN_Masc_Sing
emergencial emergencial_ADJ_Masc_Sing
d d_NOUN_Masc_Sing
… …
