@RitaLisauskas twitterhandle_VERB_Fin_Sing
Qual qual_PRON_Int_Masc_Sing
a o_DET_Fem_Sing
diferença diferença_NOUN_Fem_Sing
entre entre_ADP
posse posse_NOUN_Fem_Sing
e e_CCONJ
porte porte_NOUN_Fem_Sing
de de_ADP
arma arma_NOUN_Fem_Sing
de de_ADP
fogo fogo_NOUN_Masc_Sing
? ?
A o_DET_Fem_Sing
POSSE posse_PROPN_Fem_Sing
consiste consistir_VERB_Fin_Sing
em em_ADP
manter manter_VERB_Inf
no em_o_ADP_DET_Masc_Sing
interior interior_NOUN_Masc_Sing
de de_ADP
residência residência_NOUN_Fem_Sing
ou ou_CCONJ
no em_o_ADP_DET_Masc_Sing
local local_NOUN_Masc_Sing
de de_ADP
trabalho trabalho_NOUN_Masc_Sing
a o_DET_Fem_Sing
arma arma_NOUN_Fem_Sing
de de_ADP
fogo fogo_NOUN_Masc_Sing
. .
O o_DET_Masc_Sing
PORTE porte_NOUN_Masc_Sing
por por_ADP
sua seu_DET_Fem_Sing
vez vez_NOUN_Fem_Sing
, ,
pressupõe pressupor_VERB_Fin_Sing
que que_SCONJ
a o_DET_Fem_Sing
arma arma_NOUN_Fem_Sing
de de_ADP
fogo fogo_NOUN_Masc_Sing
esteja estar_AUX_Fin_Sing
fora fora_ADV
da de_o_ADP_DET_Fem_Sing
residência residência_NOUN_Fem_Sing
ou ou_CCONJ
local local_NOUN_Masc_Sing
de de_ADP
trabalho trabalho_NOUN_Masc_Sing
. .
Bolsonaro bolsonaro_PROPN_Masc_Sing
disse dizer_VERB_Fin_Sing
POSSE possar_VERB_Fin_Sing
entendeu entender_VERB_Fin_Sing
? ?
? ?
? ?
