RT rt_NOUN_Masc_Sing
@DeputadoFederal twitterhandle_ADJ_Masc_Sing
: :
BRASIL brasil_PROPN_Masc_Sing
DA de_o_ADP_DET_Fem_Sing
FOME fome_PROPN_Sing
: :
A a_ADP
partir partir_NOUN
da de_o_ADP_DET_Fem_Sing
próxima próximo_ADJ_Fem_Sing
semana semana_NOUN_Fem_Sing
, ,
22 22_NUM
milhões milhão_NOUN_Masc_Plur
de de_ADP
famílias família_NOUN_Fem_Plur
serão ser_AUX_Fin_Plur
excluídas excluir_VERB_Part_Fem_Plur
do de_o_ADP_DET_Masc_Sing
auxílio auxílio_NOUN_Masc_Sing
emergencial emergencial_ADJ_Masc_Sing
. .
Já já_ADV
17 17_NUM
milhõ milhõ_NOUN_Masc_Sing
… …
