@GutoZacariasMBL twitterhandle_NOUN_Masc_Sing
Querem querer_VERB_Fin_Plur
o o_DET_Masc_Sing
caos caos_NOUN_Masc_Sing
, ,
querem querer_VERB_Fin_Plur
marinho marinho_ADJ_Masc_Sing
para para_ADP
ele ele_PRON_Masc_Sing
derrubar derrubar_VERB_Inf
Alexandre alexandre_PROPN_Masc_Sing
de de_ADP
Moraes moraes_PROPN_Sing
, ,
para para_ADP
fortalecer fortalecer_VERB_Inf
aqueles aquele_PRON_Masc_Plur
que que_PRON_Rel_Masc_Plur
pedem pedir_VERB_Fin_Plur
golpe golpe_NOUN_Masc_Sing
militar militar_ADJ_Masc_Sing
, ,
aqueles aquele_PRON_Masc_Plur
que que_PRON_Rel_Masc_Plur
invadiram invadir_VERB_Fin_Plur
o o_DET_Masc_Sing
congresso congresso_NOUN_Masc_Sing
, ,
aqueles aquele_PRON_Masc_Plur
que que_PRON_Rel_Masc_Plur
politzaram politzaram_VERB_Fin_Plur
as o_DET_Fem_Plur
forças força_NOUN_Fem_Plur
armadas armar_VERB_Part_Fem_Plur
, ,
quer querer_VERB_Fin_Sing
caos caos_NOUN_Masc_Sing
, ,
vcs vcs_NOUN_Masc_Plur
são ser_AUX_Fin_Plur
piores mau_ADJ_Masc_Plur
que que_SCONJ
o o_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
, ,
bozó bozó_PROPN_Masc_Sing
mostra mostrar_VERB_Fin_Sing
o o_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
é ser_AUX_Fin_Sing
, ,
vcs vcs_NOUN_Masc_Plur
se se_PRON_Masc_Plur
maquiam maquiar_VERB_Fin_Plur
! !
