Aim aim_PROPN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Sing
mandou mandar_VERB_Fin_Sing
os o_DET_Masc_Plur
repórteres repórter_NOUN_Masc_Plur
calar calar_VERB_Inf
a o_DET_Fem_Sing
boca boca_NOUN_Fem_Sing
! !
Queridos querer_VERB_Part_Masc_Plur
eu eu_PRON_Sing
votei votar_VERB_Fin_Sing
no em_o_ADP_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
pra pra_ADP
mandar mandar_VERB_Inf
repórter repórter_NOUN_Masc_Sing
comunista comunista_ADJ_Masc_Sing
calar calar_VERB_Inf
a o_DET_Fem_Sing
boca boca_NOUN_Fem_Sing
e e_CCONJ
não não_ADV
meter meter_VERB_Inf
a o_DET_Fem_Sing
mão mão_NOUN_Fem_Sing
no em_o_ADP_DET_Masc_Sing
bolso bolso_NOUN_Masc_Sing
e e_CCONJ
pagar pagar_VERB_Inf
pelo por_o_ADP_DET_Masc_Sing
o o_DET_Masc_Sing
silêncio silêncio_NOUN_Masc_Sing
deles de_eles_ADP_PRON_Masc_Plur
shushing_face_e shushing_face_e
victory_hand_e victory_hand_e
