@jairbolsonaro twitterhandle_NOUN_Masc_Sing
Te te_VERB_Fin_Sing
amo amo_NOUN_Masc_Sing
meu meu_ADP
Presida presida_NOUN_Fem_Sing
! !
green_heart_e green_heart_e
yellow_heart_e yellow_heart_e
flag_brazil_e flag_brazil_e
Grata grata_PROPN_Sing
por por_ADP
tudo tudo_DET_Masc_Sing
q q_NOUN_Masc_Sing
o o_DET_Masc_Sing
Sr sr_PROPN_Masc_Sing
. .
Já já_ADV
fez fazer_VERB_Fin_Sing
por por_ADP
nós nós_PRON_Masc_Plur
, ,
aconteça acontecer_VERB_Fin_Sing
o o_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
acontecer acontecer_VERB_Fin_Sing
eu eu_PRON_Sing
tô tô_VERB_Fin_Sing
c c_NOUN_Masc_Sing
vc vc_ADJ_Masc_Sing
e e_CCONJ
sei saber_VERB_Fin_Sing
que que_SCONJ
vc vc_PROPN_Masc_Sing
tentou tentar_VERB_Fin_Sing
de de_ADP
TUDO tudo_PRON_Masc_Sing
por por_ADP
nós nós_PRON_Plur
! !
Que que_SCONJ
Deus deus_PROPN_Masc_Sing
proteja proteger_VERB_Fin_Sing
vc vc_NOUN_Fem_Sing
e e_CCONJ
sua seu_DET_Fem_Sing
família família_NOUN_Fem_Sing
folded_hands_light_skin_tone_e folded_hands_light_skin_tone_e
