Ricardo ricardo_PROPN_Masc_Sing
Salles salles_PROPN_Masc_Sing
, ,
ex-ministro ex-ministro
do de_o_ADP_DET_Masc_Sing
meio meio_ADJ_Masc_Sing
ambiente ambiente_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
, ,
quer querer_VERB_Fin_Sing
ser ser_AUX_Inf
relator relator_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
comissão comissão_NOUN_Fem_Sing
da de_o_ADP_DET_Fem_Sing
CPI cpi_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
MST mst_PROPN_Masc_Sing
. .
Que que_SCONJ
desgraça desgraça_NOUN_Fem_Sing
é ser_AUX_Fin_Sing
essa esse_PRON_Fem_Sing
, ,
peloamordedeus peloamordedeus_VERB_Fin_Sing
? ?
