@BlogdoNoblat twitterhandle_PROPN_Masc_Sing
Noblat noblat_PROPN_Sing
, ,
com com_ADP
todo todo_DET_Masc_Sing
respeito respeito_NOUN_Masc_Sing
, ,
fui ser_AUX_Fin_Sing
em em_ADP
uma um_DET_Fem_Sing
manifestação manifestação_NOUN_Fem_Sing
de de_ADP
recepção recepção_NOUN_Fem_Sing
ao a_o_ADP_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
e e_CCONJ
o o_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
vi ver_VERB_Fin_Sing
na em_o_ADP_DET_Fem_Sing
vida vida_NOUN_Fem_Sing
real real_ADJ_Fem_Sing
é ser_AUX_Fin_Sing
bem bem_ADV
diferente diferente_ADJ_Masc_Sing
: :
famílias família_NOUN_Fem_Plur
inteiras inteiro_ADJ_Fem_Plur
, ,
homens homem_NOUN_Masc_Plur
, ,
mulheres mulher_NOUN_Fem_Plur
, ,
jovens jovem_NOUN_Masc_Plur
, ,
crianças criança_NOUN_Fem_Plur
e e_CCONJ
idosos idoso_ADJ_Masc_Plur
. .
Ele ele_PRON_Masc_Sing
não não_ADV
 "  "
fala falar_VERB_Fin_Sing
só só_ADV
pra pra_ADP
homem homem_NOUN_Masc_Sing
 "  "
, ,
isso isso_PRON_Masc_Sing
é ser_AUX_Fin_Sing
uma um_DET_Fem_Sing
mentira mentira_NOUN_Fem_Sing
histérica histérico_ADJ_Fem_Sing
. .
Foto foto_NOUN_Fem_Sing
de de_ADP
Ponta ponta_PROPN_Fem_Sing
Grossa-PR grossa-pr
: :
