@umaloucaai3 twitterhandle_NUM
@gmariah_ twitterhandle_NOUN_Masc_Sing
@mafer_carvalho twitterhandle_ADJ_Masc_Sing
Defendo defendo_NOUN_Masc_Sing
ngm ngm_VERB_Fin_Plur
amor amor_NOUN_Masc_Sing
, ,
vc vc_NOUN_Masc_Sing
que que_PRON_Rel_Masc_Sing
defende defender_VERB_Fin_Sing
um um_DET_Masc_Sing
governo governo_NOUN_Masc_Sing
q q_NOUN_Masc_Sing
te tu_PRON_Masc_Sing
roubou roubar_VERB_Fin_Sing
e e_CCONJ
te tu_PRON_Masc_Sing
deixou deixar_VERB_Fin_Sing
na em_o_ADP_DET_Fem_Sing
merda merda_NOUN_Fem_Sing
, ,
ai ai_NOUN_Masc_Sing
vem vir_VERB_Fin_Sing
no em_o_ADP_DET_Masc_Sing
tt tt_NOUN_Masc_Sing
reclamar reclamar_VERB_Inf
kkkkkkkk kkkkkkkk_NOUN_Masc_Sing
. .
Cadê cadê_ADV
a o_DET_Fem_Sing
liberdade liberdade_NOUN_Fem_Sing
q q_NOUN_Masc_Sing
vc vc_ADJ_Masc_Sing
defende defender_VERB_Fin_Sing
? ?
Se se_SCONJ
o o_DET_Masc_Sing
bolsonaro bolsonaro_NOUN_Masc_Sing
é ser_AUX_Fin_Sing
contra contra_ADV
ou ou_ADP
n n_NOUN_Masc_Sing
, ,
problema problema_NOUN_Masc_Sing
é ser_AUX_Fin_Sing
dele de_ele_ADP_PRON_Masc_Sing
po po_NOUN_Masc_Sing
, ,
ele ele_PRON_Masc_Sing
n n_NOUN_Masc_Sing
ta ta_ADJ_Masc_Sing
proibindo proibir_VERB_Ger
ngm ngm_VERB_Fin_Plur
de de_ADP
tomar tomar_VERB_Inf
. .
Pq pq_PROPN_Masc_Sing
sera sera_VERB_Fin_Sing
q q_NOUN_Masc_Sing
o o_DET_Masc_Sing
preço preço_NOUN_Masc_Sing
tá estar_AUX_Fin_Sing
nessa em_esse_ADP_DET_Fem_Sing
altura altura_NOUN_Fem_Sing
, ,
culpa culpa_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
governo governo_NOUN_Masc_Sing
PT pt_PROPN_Masc_Sing
