Polícia polícia_PROPN_Fem_Sing
Federal federal_PROPN_Sing
expediu expedir_VERB_Fin_Sing
mandado mandar_VERB_Part_Masc_Sing
de de_ADP
prisão prisão_NOUN_Fem_Sing
contra contra_ADP
neto neto_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
ex-presidente ex-presidente
João joão_PROPN_Masc_Sing
Figueiredo figueiredo_PROPN_Sing
por por_ADP
esquema esquema_NOUN_Masc_Sing
de de_ADP
corrupção corrupção_NOUN_Fem_Sing
. .
Nas em_o_ADP_DET_Fem_Plur
redes rede_NOUN_Fem_Plur
sociais social_ADJ_Fem_Plur
, ,
Paulo paulo_PROPN_Masc_Sing
Figueiredo figueiredo_PROPN_Sing
define definir_VERB_Fin_Sing
-se se_PRON_Masc_Sing
como como_ADP
um um_DET_Masc_Sing
 "  "
liberal liberal_NOUN_Masc_Sing
conservador conservador_ADJ_Masc_Sing
 "  "
adorador adorador_NOUN_Masc_Sing
de de_ADP
Trump trump_PROPN_Masc_Sing
, ,
de de_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
e e_CCONJ
de de_ADP
Olavo olavo_PROPN_Masc_Sing
de de_ADP
Carvalho carvalho_PROPN_Sing
