@LorenzonItalo twitterhandle_NOUN_Masc_Sing
@HalestherB twitterhandle_PROPN_Masc_Sing
Me me_PROPN_Sing
decepcionei decepcionar_VERB_Fin_Sing
com com_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
? ?
N n_NOUN_Masc_Sing
, ,
O o_PRON_Masc_Sing
, ,
TIL til_PROPN_Masc_Sing
, ,
NÃO não_ADV
. .
Ele ele_PRON_Masc_Sing
é ser_AUX_Fin_Sing
a o_DET_Fem_Sing
pedra pedra_NOUN_Fem_Sing
no em_o_ADP_DET_Masc_Sing
caminho caminho_NOUN_Masc_Sing
dos de_o_ADP_DET_Masc_Plur
corruptos corrupto_NOUN_Masc_Plur
, ,
comunistas comunista_ADJ_Masc_Plur
, ,
socialistas socialista_ADJ_Masc_Plur
, ,
Freiristas freiristas_ADJ_Masc_Plur
. .
. .
. .
HASHTAG hashtag_PROPN_Masc_Sing
#gobolsonaromundial_h #gobolsonaromundial_h
