Comunista comunista_PROPN_Sing
, ,
Bolsonaro bolsonaro_PROPN_Masc_Sing
não não_ADV
pe pe_VERB_Fin_Sing
e e_CCONJ
nunca nunca_ADV
foi ser_AUX_Fin_Sing
corrupto corrupto_ADJ_Masc_Sing
. .
Como como_ADP
Trump trump_PROPN_Masc_Sing
perseguido perseguir_VERB_Part_Masc_Sing
pela por_o_ADP_DET_Fem_Sing
imprensa imprensa_NOUN_Fem_Sing
e e_CCONJ
esquerda esquerda_NOUN_Fem_Sing
despeitada despeitado_ADJ_Fem_Sing
vai ir_AUX_Fin_Sing
governar governar_VERB_Inf
para para_ADP
o o_DET_Masc_Sing
país país_NOUN_Masc_Sing
. .
Enquanto enquanto_ADV
isso isso_PRON_Masc_Sing
no em_o_ADP_DET_Masc_Sing
PCdoB pcdob_PROPN_Masc_Sing
. .
. .
. .
