RT rt_PROPN_Masc_Sing
@JESUSLUZDOMUND twitterhandle_PROPN_Sing
: :
A o_DET_Fem_Sing
cara cara_NOUN_Fem_Sing
dos de_o_ADP_DET_Masc_Plur
jornalistas jornalista_NOUN_Masc_Plur
, ,
que que_PRON_Rel_Masc_Plur
vão ir_AUX_Fin_Plur
votar votar_VERB_Inf
no em_o_ADP_DET_Masc_Sing
Lula lula_PROPN_Masc_Sing
ladrão ladrão_ADJ_Masc_Sing
. .
Quando quando_ADV
souberam saber_VERB_Fin_Plur
, ,
que que_SCONJ
o o_DET_Masc_Sing
Neymar neymar_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
22 22_PROPN_Sing
. .
Kkkkk kkkkk_PROPN_Masc_Sing
HASHTAG hashtag_PROPN_Sing
#bolsonaronop_h #bolsonaronop_h
… …
