Bolsonaro bolsonaro_PROPN_Masc_Sing
não não_ADV
poderia poder_AUX_Fin_Sing
liberar liberar_VERB_Inf
a o_DET_Fem_Sing
posse posse_NOUN_Fem_Sing
de de_ADP
arma arma_NOUN_Fem_Sing
por por_ADP
decreto decreto_NOUN_Masc_Sing
. .
Teria ter_AUX_Fin_Sing
que que_SCONJ
ser ser_AUX_Inf
no em_o_ADP_DET_Masc_Sing
máximo máximo_NOUN_Masc_Sing
, ,
por por_ADP
MP mp_PROPN_Fem_Sing
. .
Primeiro primeiro_ADV
pq pq_ADJ_Masc_Sing
decreto decreto_NOUN_Masc_Sing
é é_ADP
norma norma_NOUN_Fem_Sing
jurídica jurídico_ADJ_Fem_Sing
inferior inferior_ADJ_Fem_Sing
à a_o_ADP_DET_Fem_Sing
lei lei_NOUN_Fem_Sing
ordinária ordinário_ADJ_Fem_Sing
. .
Portanto portanto_ADV
, ,
n n_NOUN_Masc_Sing
poderia poder_AUX_Fin_Sing
mudar mudar_VERB_Inf
a o_DET_Fem_Sing
Lei lei_PROPN_Fem_Sing
10826 @card@
/ /
2003 2003_NUM
por por_ADP
decreto decreto_NOUN_Masc_Sing
. .
Segundo segundo_ADP
pq pq_ADJ_Masc_Sing
decreto decreto_NOUN_Masc_Sing
é é_ADP
p p_NOUN_Masc_Plur
/ /
normatizar normatizar_VERB_Fin_Sing
lei lei_NOUN_Fem_Sing
. .
Não não_ADV
pode poder_AUX_Fin_Sing
alterar alterar_VERB_Inf
direitos direito_NOUN_Masc_Plur
. .
