agora agora_ADV
está estar_AUX_Fin_Sing
ficando ficar_VERB_Ger
claro claro_ADV
o o_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
o o_DET_Masc_Sing
bolsonaro bolsonaro_NOUN_Masc_Sing
foi ser_AUX_Fin_Sing
fazer fazer_VERB_Inf
na em_o_ADP_DET_Fem_Sing
russia russia_NOUN_Fem_Sing
com com_ADP
todos todo_DET_Masc_Plur
os o_DET_Masc_Plur
chefes chefe_NOUN_Masc_Plur
militares militar_ADJ_Masc_Plur
: :
ensinar ensinar_VERB_Inf
o o_DET_Masc_Sing
putin putin_NOUN_Masc_Sing
a a_ADP
passar passar_VERB_Inf
vergonha vergonha_NOUN_Fem_Sing
com com_ADP
as o_DET_Fem_Plur
forças força_NOUN_Fem_Plur
armadas armar_VERB_Part_Fem_Plur
