@jairbolsonaro twitterhandle_NOUN_Masc_Sing
Presidente presidente_PROPN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Sing
te tu_PRON_Masc_Sing
amamos amar_VERB_Fin_Plur
ainda ainda_ADV
mais mais_ADV
, ,
é é_ADV
temos ter_VERB_Fin_Plur
orgulho orgulho_NOUN_Masc_Sing
de de_ADP
você você_PRON_Sing
e e_CCONJ
sua seu_DET_Fem_Sing
família família_NOUN_Fem_Sing
, ,
que que_PROPN
Deus deus_PROPN
os o_PRON_Masc_Plur
abençoem abençoar_VERB_Fin_Plur
sempre sempre_ADV
raising_hands_e raising_hands_e
folded_hands_e folded_hands_e
É ser_AUX_Fin_Sing
só só_ADV
podemos poder_AUX_Fin_Plur
agradecer agradecer_VERB_Inf
vc vc_NOUN_Fem_Sing
por por_ADP
esses esse_DET_Masc_Plur
quatro quatro_NUM
anos ano_NOUN_Masc_Plur
de de_ADP
felicidade felicidade_NOUN_Fem_Sing
que que_PRON_Rel_Fem_Sing
nos em_o_ADP_DET_Masc_Plur
brasileiros brasileiro_ADJ_Masc_Plur
Pátriotas pátriotas_NOUN_Masc_Plur
passamos passar_VERB_Fin_Plur
victory_hand_e victory_hand_e
backhand_index_pointing_right_e backhand_index_pointing_right_e
flag_brazil_e flag_brazil_e
green_heart_e green_heart_e
blue_heart_e blue_heart_e
yellow_heart_e yellow_heart_e
backhand_index_pointing_left_e backhand_index_pointing_left_e
