@rede_marco twitterhandle_VERB_Fin_Sing
Quando quando_ADV
Alexandre alexandre_PROPN_Masc_Sing
de de_ADP
Moraes moraes_PROPN_Sing
encurralar encurralar_VERB_Inf
esse esse_DET_Masc_Sing
Anderson anderson_PROPN_Masc_Sing
e e_CCONJ
conseguir conseguir_VERB_Inf
a o_DET_Fem_Sing
extradição extradição_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
Allan allan_PROPN_Masc_Sing
gengivudo gengivudo_ADJ_Masc_Sing
, ,
ambos ambos_DET_Masc_Plur
arquivos arquivo_NOUN_Masc_Plur
vivos vivo_ADJ_Masc_Plur
das de_o_ADP_DET_Fem_Plur
maracutaias maracutaias_NOUN_Fem_Plur
da de_o_ADP_DET_Fem_Sing
família família_NOUN_Fem_Sing
Bolsonaro bolsonaro_PROPN_Fem_Sing
, ,
não não_ADV
vai ir_AUX_Fin_Sing
restar restar_VERB_Inf
pedra pedra_NOUN_Fem_Sing
sobre sobre_ADP
pedra pedra_NOUN_Fem_Sing
