@JhonSuliv twitterhandle_PROPN_Masc_Sing
@lumii_uchiha twitterhandle_VERB_Fin_Sing
@CarlosEB_Garcia twitterhandle_ADJ_Fem_Sing
@folha twitterhandle_NOUN_Fem_Sing
Sobre sobre_ADP
as elas_PRON_Fem_Plur
cripto cripto_VERB_Fin_Sing
moedas moeda_NOUN_Fem_Plur
. .
. .
. .
eu eu_PRON_Sing
trabalho trabalho_NOUN_Masc_Sing
no em_o_ADP_DET_Masc_Sing
ministério ministério_NOUN_Masc_Sing
público público_ADJ_Masc_Sing
justamente justamente_ADV
nessa em_esse_ADP_DET_Fem_Sing
área área_NOUN_Fem_Sing
e e_CCONJ
sei saber_VERB_Fin_Sing
o o_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
se se_PRON
passa passar_VERB_Fin_Sing
diariamente diariamente_ADV
nesse em_esse_ADP_DET_Masc_Sing
setor setor_NOUN_Masc_Sing
. .
. .
. .
pelo por_o_ADP_DET_Masc_Sing
amor amor_NOUN_Masc_Sing
de de_ADP
deus deus_NOUN_Masc_Sing
se se_PRON
INFORME informar_VERB_Fin_Sing
! !
Quem quem_PRON_Rel_Sing
se se_PRON_Sing
informa informar_VERB_Fin_Sing
direito direito_NOUN_Masc_Sing
simplesmente simplesmente_ADV
não não_ADV
defende defender_VERB_Fin_Sing
e e_CCONJ
muito muito_ADV
menos pouco_PRON
vota votar_VERB_Fin_Sing
no em_o_ADP_DET_Masc_Sing
bolsonaro bolsonaro_NOUN_Masc_Sing
, ,
juro juro_NOUN_Masc_Sing
