@jairbolsonaro twitterhandle_VERB_Fin_Sing
@govbr twitterhandle_NOUN_Fem_Sing
Boa bom_ADJ_Fem_Sing
noite noite_NOUN_Fem_Sing
querido querido_ADJ_Masc_Sing
Presidente presidente_NOUN_Masc_Sing
Jair jair_PROPN_Masc_Sing
Messias messias_PROPN_Sing
Bolsonaro bolsonaro_PROPN_Sing
! !
Que que_PROPN
Deus deus_PROPN
te tu_PRON_Masc_Sing
cubra cobrir_VERB_Fin_Sing
de de_ADP
bênçãos bênção_NOUN_Fem_Plur
! !
! !
Amém amém_NOUN_Masc_Sing
! !
! !
! !
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
red_heart_e red_heart_e
red_heart_e red_heart_e
folded_hands_e folded_hands_e
folded_hands_e folded_hands_e
