@AndreaSTC twitterhandle_NOUN_Fem_Sing
@DetetiveParcial twitterhandle_ADJ_Fem_Sing
@Lilianpoli1 twitterhandle_VERB_Part_Fem_Sing
Com com_ADP
certeza certeza_NOUN_Fem_Sing
é ser_AUX_Fin_Sing
um um_DET_Masc_Sing
PT pt_PROPN_Masc_Sing
eu eu_PRON_Sing
minha meu_DET_Fem_Sing
família família_NOUN_Fem_Sing
somos ser_AUX_Fin_Plur
Bolsonaro bolsonaro_PROPN_Masc_Sing
pode poder_AUX_Fin_Sing
Fala falar_VERB_Fin_Sing
ninguém ninguém_PRON_Masc_Sing
mudar mudar_VERB_Inf_Sing
a a_ADP
minha meu_DET_Fem_Sing
O o_DET_Masc_Sing
pinião pinião_NOUN_Masc_Sing
