Oposição oposição_NOUN_Fem_Sing
segue segar_VERB_Fin_Sing
em em_ADP
obstrução obstrução_NOUN_Fem_Sing
política político_ADJ_Fem_Sing
em em_ADP
defesa defesa_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
pagamento pagamento_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
auxílio auxílio_NOUN_Masc_Sing
emergencial emergencial_ADJ_Masc_Sing
de de_ADP
R$ r$
600 600_NUM
, ,
00 @card@
. .
Não não_ADV
vamos ir_AUX_Fin_Plur
aceitar aceitar_VERB_Inf
redução redução_NOUN_Fem_Sing
de de_ADP
valor valor_NOUN_Masc_Sing
, ,
Bolsonaro bolsonaro_PROPN_Masc_Sing
não não_ADV
pode poder_AUX_Fin_Sing
cometer cometer_VERB_Inf
este este_DET_Masc_Sing
crime crime_NOUN_Masc_Sing
com com_ADP
as o_DET_Fem_Plur
famílias família_NOUN_Fem_Plur
brasileiras brasileiro_ADJ_Fem_Plur
. .
Faço fazer_VERB_Fin_Sing
um um_DET_Masc_Sing
desafio desafio_NOUN_Masc_Sing
ao a_o_ADP_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
, ,
tente tentar_VERB_Fin_Sing
passar passar_VERB_Inf
um um_DET_Masc_Sing
mês mês_NOUN_Masc_Sing
com com_ADP
R$ r$
300 300_NUM
, ,
00 @card@
! !
