@reinaldoazevedo twitterhandle_VERB_Part_Masc_Sing
Kkkkkkkkkk kkkkkkkkkk_PROPN_Masc_Sing
ele ele_PRON_Masc_Sing
pensa pensar_VERB_Fin_Sing
q q_NOUN_Masc_Sing
pode poder_AUX_Fin_Sing
fazer fazer_VERB_Inf
o o_DET_Masc_Sing
q q_NOUN_Masc_Sing
ele ele_PRON_Masc_Sing
quer querer_VERB_Fin_Sing
, ,
tem ter_VERB_Fin_Sing
q q_NOUN_Masc_Sing
por por_ADP
esse esse_DET_Masc_Sing
cara cara_NOUN_Masc_Sing
pra pra_ADP
fora fora_NOUN
da de_o_ADP_DET_Fem_Sing
política política_NOUN_Fem_Sing
esperamos esperar_VERB_Fin_Plur
q q_NOUN_Masc_Sing
o o_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
cumpra cumprir_VERB_Fin_Sing
com com_ADP
q q_NOUN_Masc_Sing
prometeu prometer_VERB_Fin_Sing
e e_CCONJ
não não_ADV
cair cair_VERB_Inf
nas em_o_ADP_DET_Fem_Plur
conversas conversa_NOUN_Fem_Plur
dos de_o_ADP_DET_Masc_Plur
comunistas comunista_ADJ_Masc_Plur
corruptos corrupto_NOUN_Masc_Plur
se se_PRON_Masc_Plur
não não_ADV
o o_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
nunca nunca_ADV
pode poder_AUX_Fin_Sing
sair sair_VERB_Inf
do de_o_ADP_DET_Masc_Sing
comunismo comunismo_NOUN_Masc_Sing
. .
