@Rconstantino twitterhandle_VERB_Fin_Sing
Que que_SCONJ
Deus deus_PROPN_Masc_Sing
nos em_o_ADP_DET_Masc_Plur
proteja proteger_VERB_Fin_Sing
folded_hands_e folded_hands_e
obrigada obrigar_VERB_Part_Fem_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
smiling_face_with_sunglasses_e smiling_face_with_sunglasses_e
flag_brazil_e flag_brazil_e
por por_ADP
Tudo tudo_PRON_Masc_Sing
red_heart_e red_heart_e
Deus deus_PROPN_Sing
, ,
pátria pátria_NOUN_Fem_Sing
, ,
família família_NOUN_Fem_Sing
red_heart_e red_heart_e
flag_brazil_e flag_brazil_e
