Bolsonaro bolsonaro_PROPN_Masc_Sing
, ,
seu seu_DET_Masc_Sing
filho filho_NOUN_Masc_Sing
Flavio flavio_PROPN_Masc_Sing
, ,
o o_DET_Masc_Sing
advogado advogado_NOUN_Masc_Sing
, ,
ninguém ninguém_PRON_Masc_Sing
sabia saber_VERB_Fin_Sing
onde onde_ADV
estava estar_AUX_Fin_Sing
Queiroz queiroz_PROPN_Fem_Sing
. .
Os o_DET_Masc_Plur
milicianos miliciano_NOUN_Masc_Plur
agem agir_VERB_Fin_Plur
soltos soltar_VERB_Part_Masc_Plur
no em_o_ADP_DET_Masc_Sing
Rio rio_PROPN_Masc_Sing
. .
O o_DET_Masc_Sing
crime crime_NOUN_Masc_Sing
organizado organizar_VERB_Part_Masc_Sing
leva levar_VERB_Fin_Sing
e e_CCONJ
traz trazer_VERB_Fin_Sing
armas arma_NOUN_Fem_Plur
e e_CCONJ
drogas droga_NOUN_Fem_Plur
e e_CCONJ
sitia sitiar_VERB_Fin_Sing
cidades cidade_NOUN_Fem_Plur
como como_ADP
Botucatu botucatu_PROPN_Fem_Sing
. .
Mas mas_CCONJ
André andré_PROPN_Masc_Sing
Mendonça mendonça_PROPN_Sing
só só_ADV
monitorava monitorava_VERB_Fin_Sing
professores professor_NOUN_Masc_Plur
e e_CCONJ
policiais policial_NOUN_Masc_Plur
. .
Ameaça ameaçar_VERB_Fin_Sing
à a_o_ADP_DET_Fem_Sing
ordem ordem_NOUN_Fem_Sing
pública público_ADJ_Fem_Sing
? ?
Nos nós_PRON_Masc_Plur
poupe poupar_VERB_Fin_Sing
. .
