@Estadao twitterhandle_VERB_Fin_Sing
Jura jura_PROPN_Fem_Sing
que que_SCONJ
ele ele_PRON_Masc_Sing
falou falar_VERB_Fin_Sing
isso isso_PRON_Masc_Sing
? ?
! !
! !
Sabe saber_VERB_Fin_Sing
nada nada_PRON_Masc_Sing
da de_o_ADP_DET_Fem_Sing
nação nação_NOUN_Fem_Sing
que que_PRON_Rel_Fem_Sing
ele ele_PRON_Masc_Sing
pensa pensar_VERB_Fin_Sing
se se_PRON
eleger eleger_VERB_Inf
presidente presidente_NOUN_Masc_Sing
! !
Deus deus_INTJ
, ,
quem quem_PRON_Rel_Masc_Plur
são ser_AUX_Fin_Plur
os o_DET_Masc_Plur
eleitores eleitor_NOUN_Masc_Plur
dessa de_esse_ADP_DET_Fem_Sing
pessoa pessoa_NOUN_Fem_Sing
? ?
