FASCISTAS fascista_NOUN_Masc_Plur
NÃO não_ADV
PASSARÃO passarão_PROPN_Masc_Sing
! !
Armado armar_VERB_Part_Masc_Sing
, ,
apoiador apoiador_ADJ_Masc_Sing
de de_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
ameaça ameaçar_AUX_Fin_Sing
colaboradora colaborador_ADJ_Fem_Sing
da de_o_ADP_DET_Fem_Sing
equipe equipe_NOUN_Fem_Sing
de de_ADP
campanha campanha_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
Boulos boulos_PROPN_Masc_Sing
. .
Não não_ADV
nos nós_PRON_Plur
intimidarão intimidarão_VERB_Fin_Sing
, ,
não não_ADV
vamos ir_AUX_Fin_Plur
aceitar aceitar_VERB_Inf
a o_DET_Fem_Sing
naturalização naturalização_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
ódio ódio_NOUN_Masc_Sing
e e_CCONJ
da de_o_ADP_DET_Fem_Sing
violência violência_NOUN_Fem_Sing
. .
Exigimos exigir_VERB_Fin_Plur
providências providência_NOUN_Fem_Plur
! !
