Como como_ADV
@demori twitterhandle_VERB_Fin_Sing
apontou apontar_VERB_Fin_Sing
: :
o o_DET_Masc_Sing
que que_PRON_Rel_Masc_Sing
tem ter_VERB_Fin_Sing
de de_ADP
heróico heróico_ADJ_Masc_Sing
e e_CCONJ
virtuoso virtuoso_ADJ_Masc_Sing
na em_o_ADP_DET_Fem_Sing
recusa recusa_NOUN_Fem_Sing
ao a_o_ADP_DET_Masc_Sing
golpe golpe_NOUN_Masc_Sing
pelos por_o_ADP_DET_Masc_Plur
comandantes comandante_NOUN_Masc_Plur
militares militar_ADJ_Masc_Plur
, ,
se se_SCONJ
eles eles_PRON_Masc_Plur
aceitam aceitar_VERB_Fin_Plur
com com_ADP
tranquilidade tranquilidade_NOUN_Fem_Sing
sua seu_DET_Fem_Sing
demissão demissão_NOUN_Fem_Sing
para para_ADP
serem ser_AUX_Inf_Plur
substituídos substituir_VERB_Part_Masc_Plur
por por_ADP
colaboracionistas colaboracionista_NOUN_Masc_Plur
? ?
Não não_ADV
estão estar_AUX_Fin_Plur
entregando entregar_VERB_Part
as o_DET_Fem_Plur
Forças forças_PROPN_Fem_Plur
Armadas armadas_PROPN_Sing
de de_ADP
mão mão_NOUN_Fem_Sing
beijada beijar_VERB_Part_Fem_Sing
para para_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
? ?
