@ojgallo twitterhandle_VERB_Fin_Sing
Quem quem_PRON_Rel_Sing
é ser_AUX_Fin_Sing
inimigo inimigo_ADJ_Masc_Sing
do de_o_ADP_DET_Masc_Sing
Ciro ciro_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
o o_DET_Masc_Sing
próprio próprio_DET_Masc_Sing
Ciro ciro_PROPN_Masc_Sing
. .
Ele ele_PRON_Masc_Sing
não não_ADV
se se_PRON
emenda emendar_VERB_Fin_Sing
, ,
fala falar_VERB_Fin_Sing
pelos por_o_ADP_DET_Masc_Plur
cotovelos cotovelo_NOUN_Masc_Plur
, ,
quer querer_VERB_Fin_Sing
se se_PRON
aliar aliar_VERB_Inf
com com_ADP
Deus deus_PROPN_Masc_Sing
e e_CCONJ
o o_DET_Masc_Sing
Diabo diabo_NOUN_Masc_Sing
ao a_o_ADP_DET_Masc_Sing
mesmo mesmo_ADJ_Masc_Sing
tempo tempo_NOUN_Masc_Sing
e e_CCONJ
, ,
quando quando_ADV
surge surgir_VERB_Fin_Sing
uma um_DET_Fem_Sing
acusação acusação_NOUN_Fem_Sing
, ,
ele ele_PRON_Masc_Sing
não não_ADV
se se_PRON
defende defender_VERB_Fin_Sing
. .
Mas mas_CCONJ
, ,
mesmo mesmo_ADV
assim assim_ADV
, ,
se se_PRON
ficar ficar_VERB_Fin_Sing
com com_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
, ,
Alckmin alckmin_PROPN_Masc_Sing
ou ou_CCONJ
Marina marina_PROPN_Masc_Sing
, ,
eu eu_PRON_Sing
voto votar_VERB_Fin_Sing
nele em_ele_ADP_PRON_Masc_Sing
. .
